Object Name,Thickness (m),Density (kg/m³),Thermal_Conductivity (W/m·K),Specific_Heat_Capacity (J/kg·K),Emissivity,Infrared_Reflectivity,Porosity,Solar_Absorptance,Solar_Reflectance,Area,Mass,Material_type,Wind_Speed,Sun_Exposure,Temperature,Humidity
ac_exhaust009,0.200000,2700,167.000000,896,0.050000,0.900000,,0.100000,0.900000,0.250000,0.050000,metal,6.1944,100.0,35,64
ac_exhaust010,0.200000,2700,167.000000,896,0.050000,0.900000,,0.100000,0.900000,0.250000,0.050000,metal,6.1944,100.0,35,64
ac_exhaust011,0.200000,2700,167.000000,896,0.050000,0.900000,,0.100000,0.900000,0.250000,0.050000,metal,6.1944,100.0,35,64
ac_exhaust012,0.200000,2700,167.000000,896,0.050000,0.900000,,0.100000,0.900000,0.250000,0.050000,metal,6.1944,100.0,35,64
ac_exhaust013,0.200000,2700,167.000000,896,0.050000,0.900000,,0.100000,0.900000,0.250000,0.050000,metal,6.1944,100.0,35,64
ac_exhaust014,0.200000,2700,167.000000,896,0.050000,0.900000,,0.100000,0.900000,0.250000,0.050000,metal,6.1944,99.1,35,64
ac_exhaust015,0.200000,2700,167.000000,896,0.050000,0.900000,,0.100000,0.900000,0.250000,0.050000,metal,6.1944,99.7,35,64
Brown_Cement_Wall-front_back001,0.020000,2400,1.800000,900,0.850000,0.200000,0.11999999731779099,0.800000,0.200000,276.000000,5.520000,concrete,6.1944,12.6,35,64
Brown_Cement_Wall-left_right001,0.020000,2400,1.800000,900,0.850000,0.150000,0.11999999731779099,0.800000,0.200000,196.000000,3.920000,concrete,6.1944,73.1,35,64
Brown_Cement_Wall-top001,0.020000,2400,1.800000,900,0.850000,0.150000,0.11999999731779099,0.800000,0.200000,300.000000,6.000000,concrete,6.1944,70.8,35,64
concrete_wall_base002,0.250000,2400,1.800000,900,0.900000,0.200000,12,0.750000,0.100000,87.500000,21.875000,concrete,6.1944,18.8,35,64
concrete_wall_base003,0.250000,2400,1.800000,900,0.900000,0.200000,12,0.750000,0.100000,16.900000,4.225000,concrete,6.1944,25.0,35,64
window_frame008,0.025000,2700,278.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,57.4,35,64
window_glass008,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
window_frame009,0.025000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,55.7,35,64
window_glass009,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
window_frame010,0.025000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,56.6,35,64
window_glass010,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
window_frame011,0.025000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,56.6,35,64
window_glass011,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
window_frame012,0.025000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,56.6,35,64
window_glass012,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
window_frame013,0.025000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,56.6,35,64
window_glass013,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
window_frame014,0.025000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,54.1,35,64
window_glass014,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
window_frame015,0.025000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.115000,0.002875,steel,6.1944,71.3,35,64
window_glass015,0.004000,2230,1.120000,830,0.880000,0.120000,,0.880000,0.080000,0.260000,0.001040,glass,6.1944,0.0,35,64
air_wents004,0.030000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.260000,0.007800,steel,6.1944,71.2,35,64
air_wents005,0.030000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.260000,0.007800,steel,6.1944,63.5,35,64
air_wents006,0.030000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.260000,0.007800,steel,6.1944,63.5,35,64
air_wents007,0.030000,2700,218.000000,900,0.100000,0.850000,,0.150000,0.900000,0.260000,0.007800,steel,6.1944,63.5,35,64
Steel_door001,0.030000,7800,50.000000,550,0.300000,0.700000,,0.550000,0.450000,1.500000,0.045000,metal,6.1944,74.2,35,64
ladder006,0.035000,2700,200.000000,900,0.100000,0.850000,,0.150000,0.900000,0.200000,0.001750,steel,6.1944,96.6,35,64
ladder007,0.035000,2700,200.000000,900,0.100000,0.850000,,0.150000,0.900000,0.200000,0.001750,steel,6.1944,96.8,35,64
ladder008,0.035000,2700,200.000000,900,0.100000,0.850000,,0.150000,0.900000,0.200000,0.001750,steel,6.1944,98.5,35,64
ladder009,0.035000,2700,200.000000,900,0.100000,0.850000,,0.150000,0.900000,0.200000,0.001750,steel,6.1944,92.1,35,64
ladder010,0.035000,2700,200.000000,900,0.100000,0.850000,,0.150000,0.900000,0.200000,0.001750,steel,6.1944,98.3,35,64
ladder011,0.035000,2700,200.000000,900,0.100000,0.850000,,0.150000,0.900000,0.200000,0.001750,steel,6.1944,96.6,35,64
AAC_Floor001,0.300000,1000,300.000000,1000,0.880000,0.600000,75,0.600000,0.500000,439.500000,131.850006,asphalt,6.1944,100.0,35,64
